,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
2549,Two-Lane Blacktop,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,The Hired Hand,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,The Last Movie,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,Shoot Out,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,The Railway Children,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,Play Misty for Me,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,Minnie and Moskowitz,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,"Mary, Queen of Scots",,,,,,,,,,,,,,,,,,,,,,,,,,
2557,Sometimes a Great Notion,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,Silent Running,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,Slaughterhouse-Five,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,The Ra Expeditions,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,The Great Northfield Minnesota Raid,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,The Groundstar Conspiracy,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,Frenzy,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,Twins of Evil,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,Hands of the Ripper,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,Follow Me!,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,Joe Kidd,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,You'll Like My Mother,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,Play It as It Lays,,,,,,,,,,,,,,,,,,,,,,,,,,
2570,Ulzana's Raid,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,Limbo,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,Pete 'n' Tillie,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,Trick Baby,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,Two People,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,Bequest to the Nation,,,,,,,,,,,,,,,,,,,,,,,,,,
2576,Guns of a Stranger,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,Showdown,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,The Day of the Jackal,,,,,,,,,,,,,,,,,,,,,,,,,,
2579,SSSSSSS,,,,,,,,,,,,,,,,,,,,,,,,,,
2580,The Naked Ape,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,American Graffiti,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,Jesus Christ Superstar,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,High Plains Drifter,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,Charley Varrick,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,The Don Is Dead,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,Breezy,,,,,,,,,,,,,,,,,,,,,,,,,,
2587,The Boy Who Cried Werewolf,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,The Sting,,,,,,,,,,,,,,,,,,,,,,,,,,
2589,That Man Bolt,,,,,,,,,,,,,,,,,,,,,,,,,,
2590,Willie Dynamite,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,The Sugarland Express,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,The Black Windmill,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,The Midnight Man,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,My Name is Nobody,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,Newman's Law,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,The Girl from Petrovka,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,Airport 1975,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,Janis,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,The Front Page,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,The Great Waldo Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,Homo Eroticus,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,The Eiger Sanction,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,Jaws,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,Sidecar Racers,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,Rooster Cogburn,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,The Other Side of the Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,Special Section,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,The Hindenburg,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,Jim the World's Greatest,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,Gable and Lombard,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,W.C. Fields and Me,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,Mustang Country,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,Family Plot,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,Midway,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,The Bingo Long Traveling All-Stars & Motor Kings,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,Swashbuckler,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,The Bawdy Adventures of Tom Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,The Seven-Per-Cent Solution,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,The Slipper and the Rose,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,Two-Minute Warning,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,Checkered Flag or Crash,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,The Sentinel,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,Fellini's Casanova,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,Slap Shot,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,Airport '77,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,The Car,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,Smokey and the Bandit,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,"Forever Young, Forever Free",,,,,,,,,,,,,,,,,,,,,,,,,,
2631,Rollercoaster,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,MacArthur,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,The Last Remake of Beau Geste,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,Which Way Is Up?,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,Heroes,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,The Choirboys,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,Scott Joplin,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,"September 30, 1955",,,,,,,,,,,,,,,,,,,,,,,,,,
2640,The Other Side of the Mountain Part 2,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,Blue Collar,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,Skateboard,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,Gray Lady Down,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,House Calls,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,I Wanna Hold Your Hand,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,FM,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,Nunzio,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,The Greek Tycoon,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,Jaws 2,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,Sgt. Pepper's Lonely Hearts Club Band,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,Animal House,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,Five Days from Home,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,Almost Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,Paradise Alley,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,The Big Fix,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,The Wiz,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,Caravans,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,"Same Time, Next Year",,,,,,,,,,,,,,,,,,,,,,,,,,
2659,The Brink's Job,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,Moment by Moment,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,Streets of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,The Deer Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,The Promise,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,Buck Rogers in the 25th Century,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,Fast Charlie... the Moonbeam Rider,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Battlestar Galactica,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,Walk Proud,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,Dracula,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,More American Graffiti,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,The Concorde ... Airport '79,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,The Prisoner of Zenda,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,The Seduction of Joe Tynan,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,The Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,Yanks,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,Running,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,1941,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,The Jerk,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,The Electric Horseman,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,Learn how and when to remove this template message,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,Guyana: Cult of the Damned,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,The Last Married Couple in America,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,Coal Miner's Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,Little Miss Marker,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,North Sea Hijack,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,Where the Buffalo Roam,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,The Nude Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,The Gong Show Movie,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,The Island,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,The Blues Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,Cheech and Chong's Next Movie,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,Xanadu,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,Smokey and the Bandit II,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,Melvin and Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,In God We Tru$t,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,Resurrection,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,Somewhere in Time,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,Flash Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,The White Lions,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,Stingray,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,Burned at the Stake,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,The Incredible Shrinking Woman,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,All Night Long,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,The Funhouse,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,Nighthawks,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,Beyond the Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,Cattle Annie and Little Britches,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,King of the Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,The Four Seasons,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,Bustin' Loose,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,The Legend of the Lone Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,The Great Muppet Caper,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,Endless Love,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,An American Werewolf in London,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,Honky Tonk Freeway,,,,,,,,,,,,,,,,,,,,,,,,,,
2715,Continental Divide,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,Raggedy Man,,,,,,,,,,,,,,,,,,,,,,,,,,
2717,Zoot Suit,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,Silence of the North,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,Halloween II,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,The Pursuit of D. B. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,Ghost Story,,,,,,,,,,,,,,,,,,,,,,,,,,
2722,Heartbeeps,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,The Border,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,On Golden Pond,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,Barbarosa,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,Evil Under the Sun,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,
2728,A Little Sex,,,,,,,,,,,,,,,,,,,,,,,,,,
2729,Cat People,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,Death Valley,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,Conan the Barbarian,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,Dead Men Don't Wear Plaid,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,E.T. the Extra-Terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,The Thing,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,The Best Little Whorehouse in Texas,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,Fast Times at Ridgemont High,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,Moonlighting,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,Halloween III: Season of the Witch,,,,,,,,,,,,,,,,,,,,,,,,,,
2739,Frances,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,Sophie's Choice,,,,,,,,,,,,,,,,,,,,,,,,,,
2741,La Traviata,,,,,,,,,,,,,,,,,,,,,,,,,,
2742,The Dark Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,Six Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,
2744,Videodrome,,,,,,,,,,,,,,,,,,,,,,,,,,
2745,The Pirates of Penzance,,,,,,,,,,,,,,,,,,,,,,,,,,
2746,The Sting II,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,Second Thoughts,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,Tender Mercies,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,Eddie Macon's Run,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,Bad Boys,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,Monty Python's The Meaning of Life,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,Doctor Detroit,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,Psycho II,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,Stroker Ace,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,Puberty Blues,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,Jaws 3-D,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,Private School,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,Smokey and the Bandit Part 3,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,Metalstorm: The Destruction of Jared-Syn,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,"Merry Christmas, Mr. Lawrence",,,,,,,,,,,,,,,,,,,,,,,,,,
2761,Nightmares,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,Heat and Dust,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,Cross Creek,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,Going Berserk,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,The Lonely Lady,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,Hanna K.,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,Rumble Fish,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,Scarface,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,D.C. Cab,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,The Lonely Guy,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,Slayground,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,Repo Man,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,Tank,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,Hard to Hold,,,,,,,,,,,,,,,,,,,,,,,,,,
2776,Iceman,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,Sixteen Candles,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,Firestarter,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,Streets of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,
2780,Under the Volcano,,,,,,,,,,,,,,,,,,,,,,,,,,
2781,Conan the Destroyer,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,The Last Starfighter,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,One Deadly Summer,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,Cloak & Dagger,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,All of Me,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,The Wild Life,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,Comfort and Joy,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,Terror in the Aisles,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,Dune,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,Mass Appeal,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,The River,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,The Breakfast Club,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,Into the Night,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,Mask,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,Annie's Coming Out,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,Stick,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,Gotcha!,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,Brewster's Millions,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,Fletch,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,Back to the Future,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,Weird Science,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,James Joyce's Women,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,Creator,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,Morons from Outer Space,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,Dreamchild,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,The Holcroft Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,Wild Geese II,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,UFOria,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,Out of Africa,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,The Best of Times,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,The Money Pit,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,Sweet Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,Legal Eagles,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,Psycho III,,,,,,,,,,,,,,,,,,,,,,,,,,
2817,Howard the Duck,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,Bullies,,,,,,,,,,,,,,,,,,,,,,,,,,
2819,"'night, Mother",,,,,,,,,,,,,,,,,,,,,,,,,,
2820,Playing for Keeps,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,Clockwise,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,An American Tail,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,Brighton Beach Memoirs,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,The Secret of My Success,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,The Allnighter,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Harry and the Hendersons,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,Dragnet,,,,,,,,,,,,,,,,,,,,,,,,,,
2828,Jaws: The Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,
2829,North Shore,,,,,,,,,,,,,,,,,,,,,,,,,,
2830,Born in East L.A.,,,,,,,,,,,,,,,,,,,,,,,,,,
2831,Amazon Women on the Moon,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,Hail! Hail! Rock 'n' Roll,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,Three O'Clock High,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,Prince of Darkness,,,,,,,,,,,,,,,,,,,,,,,,,,
2835,Positive I.D.,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,Cry Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,
2837,Cross My Heart,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,Batteries Not Included,,,,,,,,,,,,,,,,,,,,,,,,,,
2840,The Serpent and the Rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,The Milagro Beanfield War,,,,,,,,,,,,,,,,,,,,,,,,,,
2842,Biloxi Blues,,,,,,,,,,,,,,,,,,,,,,,,,,
2843,Casual Sex?,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,Shakedown,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,The Great Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,
2846,Phantasm II,,,,,,,,,,,,,,,,,,,,,,,,,,
2847,Midnight Run,,,,,,,,,,,,,,,,,,,,,,,,,,
2848,The Last Temptation of Christ,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,Moon Over Parador,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,Gorillas in the Mist,,,,,,,,,,,,,,,,,,,,,,,,,,
2851,Madame Sousatzka,,,,,,,,,,,,,,,,,,,,,,,,,,
2852,They Live,,,,,,,,,,,,,,,,,,,,,,,,,,
2853,The Land Before Time,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,Missing Link,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,Screwball Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,Watchers,,,,,,,,,,,,,,,,,,,,,,,,,,
2857,Twins,,,,,,,,,,,,,,,,,,,,,,,,,,
2858,Talk Radio,,,,,,,,,,,,,,,,,,,,,,,,,,
2859,The 'Burbs,,,,,,,,,,,,,,,,,,,,,,,,,,
2860,Fletch Lives,,,,,,,,,,,,,,,,,,,,,,,,,,
2861,The Dream Team,,,,,,,,,,,,,,,,,,,,,,,,,,
2862,Field of Dreams,,,,,,,,,,,,,,,,,,,,,,,,,,
2863,K-9,,,,,,,,,,,,,,,,,,,,,,,,,,
2864,Renegades,,,,,,,,,,,,,,,,,,,,,,,,,,
2865,Do the Right Thing,,,,,,,,,,,,,,,,,,,,,,,,,,
2866,Parenthood,,,,,,,,,,,,,,,,,,,,,,,,,,
2867,Uncle Buck,,,,,,,,,,,,,,,,,,,,,,,,,,
2868,Sea of Love,,,,,,,,,,,,,,,,,,,,,,,,,,
2869,Shocker,,,,,,,,,,,,,,,,,,,,,,,,,,
2870,Dad,,,,,,,,,,,,,,,,,,,,,,,,,,
2871,Back to the Future Part II,,,,,,,,,,,,,,,,,,,,,,,,,,
2872,The Wizard,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,Born on the Fourth of July,,,,,,,,,,,,,,,,,,,,,,,,,,
2874,Always,,,,,,,,,,,,,,,,,,,,,,,,,,
2875,Learn how and when to remove this template message,,,,,,,,,,,,,,,,,,,,,,,,,,
2876,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,
2877,Coupe de Ville,,,,,,,,,,,,,,,,,,,,,,,,,,
2878,Opportunity Knock s,,,,,,,,,,,,,,,,,,,,,,,,,,
2879,Cry-Baby,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,The Guardian,,,,,,,,,,,,,,,,,,,,,,,,,,
2881,Bird on a Wire,,,,,,,,,,,,,,,,,,,,,,,,,,
2882,Back to the Future Part III,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,Ghost Dad,,,,,,,,,,,,,,,,,,,,,,,,,,
2884,Jetsons: The Movie,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,Problem Child,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,Mo' Better Blues,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,Darkman,,,,,,,,,,,,,,,,,,,,,,,,,,
2888,Henry & June,,,,,,,,,,,,,,,,,,,,,,,,,,
2889,White Palace,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,Child's Play 2,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,Havana,,,,,,,,,,,,,,,,,,,,,,,,,,
2892,Kindergarten Cop,,,,,,,,,,,,,,,,,,,,,,,,,,
2893,Lionheart,,,,,,,,,,,,,,,,,,,,,,,,,,
2894,Once Around,,,,,,,,,,,,,,,,,,,,,,,,,,
2895,King Ralph,,,,,,,,,,,,,,,,,,,,,,,,,,
2896,Closet Land,,,,,,,,,,,,,,,,,,,,,,,,,,
2897,The Hard Way,,,,,,,,,,,,,,,,,,,,,,,,,,
2898,Career Opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,A Kiss Before Dying,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,Backdraft,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,Jungle Fever,,,,,,,,,,,,,,,,,,,,,,,,,,
2902,Problem Child 2,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,Mobsters,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,Pure Luck,,,,,,,,,,,,,,,,,,,,,,,,,,
2905,Child's Play 3,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,Shout,,,,,,,,,,,,,,,,,,,,,,,,,,
2907,Cool as Ice,,,,,,,,,,,,,,,,,,,,,,,,,,
2908,The People Under the Stairs,,,,,,,,,,,,,,,,,,,,,,,,,,
2909,Cape Fear,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,An American Tail: Fievel Goes West,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,At Play in the Fields of the Lord,,,,,,,,,,,,,,,,,,,,,,,,,,
2912,Fried Green Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,Kuffs,,,,,,,,,,,,,,,,,,,,,,,,,,
2914,Stop! Or My Mom Will Shoot,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,American Me,,,,,,,,,,,,,,,,,,,,,,,,,,
2916,Beethoven,,,,,,,,,,,,,,,,,,,,,,,,,,
2917,The Babe,,,,,,,,,,,,,,,,,,,,,,,,,,
2918,Leaving Normal,,,,,,,,,,,,,,,,,,,,,,,,,,
2919,Far and Away,,,,,,,,,,,,,,,,,,,,,,,,,,
